complaint_id,officer_id,po_race,po_sex,po_assigned_unit,allegations_investigated,investigative_findings,disciplinary_findings
16-0036,38731538,black,male,1200 12TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0036,92223798,white,male,1200 12TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0037,12616350,black,female,1800 18TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0037,47878343,black,male,1800 18TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0038,NA,NA,NA,NA,Departmental Violation,No Sustained Findings,Not Applicable
16-0039,42237550,black,male,0300 03RD DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0039,42237550,black,male,0300 03RD DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0040,85193063,black,male,0300 03RD DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0041,28218995,white,male,1200 12TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0042,61918699,white,female,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0042,48913461,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0043,16049920,white,male,0500 05TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0044,27318803,white,female,1500 15TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0044,NA,NA,NA,NA,Lack of Service,No Sustained Findings,Not Applicable
16-0044,76774103,white,male,5300 HIGHWAY PATROL,Departmental Violation,No Sustained Findings,Not Applicable
16-0045,36713144,white,male,1400 14TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
16-0045,55958959,white,male,1400 14TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
16-0046,67227670,white,male,1500 15TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
16-0046,54089052,white,male,1500 15TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
16-0047,39732152,white,male,3900 39TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0047,15699731,white,male,3900 39TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0048,41203634,white,male,1400 14TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0048,62685510,white,male,1400 14TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0049,12923623,latino,female,2400 24TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
20-0316,NA,NA,NA,NA,Investigation OnGoing,Pending,Pending
16-0050,16958352,white,female,3500 35TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0050,63424684,white,male,3500 35TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0050,93242780,latino,male,3500 35TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0051,97893258,black,male,1700 17TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0051,30677186,black,male,1700 17TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0052,38091241,white,male,0700 07TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0052,94297296,black,female,9821 SAFETY OFFICE,Departmental Violation,No Sustained Findings,Not Applicable
16-0053,61694166,white,male,2200 22ND DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0053,55869180,black,male,2200 22ND DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0054,10091211,black,male,1200 12TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
16-0054,53971635,asian,male,1200 12TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
